campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:192:160:3072:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:8:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:192:64:3072:192:64:16:42:126:1:1:0:21:63:2:2:1:2:1:4:40:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:12:10:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:12:10:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:256:128:3072:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:6:20:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:256:128:3072:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:6:20:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:176:176:3072:176:176:32:22:22:1:1:0:11:11:2:2:1:1:1:9:15:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:176:176:3072:176:176:32:22:22:1:1:0:11:11:2:2:1:1:1:9:15:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:192:160:3072:192:160:16:42:42:1:1:0:21:21:2:2:1:1:1:8:16:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:512:64:3072:512:64:32:8:64:1:1:0:4:32:2:2:1:1:1:3:40:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:512:64:3072:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:3:40:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:512:64:3072:512:64:16:16:128:1:1:0:8:64:2:2:1:1:2:3:20:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:256:64:3072:256:64:16:32:128:1:1:0:16:64:2:2:1:1:1:6:40:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:208:64:3072:208:64:16:38:114:1:1:0:19:57:2:2:1:2:1:4:40:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:384:48:3072:384:48:32:10:80:1:1:0:5:40:2:2:1:1:1:4:54:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:448:48:3072:448:48:32:8:80:1:1:0:4:40:2:2:1:1:1:4:54:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:128:256:4096:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:24:3:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:384:48:4096:384:48:16:20:160:1:1:0:10:80:2:2:1:1:1:8:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:128:256:4096:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:24:3:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:128:4096:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:12:6:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:20:4:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:20:4:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:192:160:4096:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:16:5:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:192:160:4096:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:16:5:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:128:4096:256:128:16:32:64:1:1:0:16:32:2:2:1:1:1:12:6:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:512:64:4096:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:6:12:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:384:64:4096:384:64:16:20:120:1:1:0:10:60:2:2:1:2:1:4:12:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:64:4096:256:64:16:32:128:1:1:0:16:64:2:2:1:2:1:6:12:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:512:48:4096:512:48:32:8:80:1:1:0:4:40:2:2:1:1:1:6:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:448:48:4096:448:48:32:8:80:1:1:0:4:40:2:2:1:1:1:7:16:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:320:48:4096:320:48:16:24:168:1:1:0:12:84:2:2:1:1:1:10:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:48:4096:256:48:16:32:160:1:1:0:16:80:2:2:1:1:1:12:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:6:12:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:96:224:4096:96:224:64:10:10:1:1:0:5:5:2:2:1:1:1:8:14:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:48:4096:256:48:16:32:160:1:1:0:16:80:2:2:1:1:1:3:64:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:6:12:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:128:4096:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:3:24:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:5:16:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:5:16:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:192:160:4096:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:4:20:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:192:160:4096:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:4:20:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:128:4096:256:128:16:32:64:1:1:0:16:32:2:2:1:1:1:3:24:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:384:64:4096:384:64:16:20:120:1:1:0:10:60:2:2:1:1:1:2:48:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:448:64:4096:448:64:16:18:126:1:1:0:9:63:2:2:1:1:1:2:48:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:512:64:4096:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:2:48:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:512:64:4096:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:2:48:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:64:4096:256:64:16:32:128:1:1:0:16:64:2:2:1:1:1:3:48:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:384:48:4096:384:48:32:10:80:1:1:0:5:40:2:2:1:1:1:2:64:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:160:192:4099:160:192:64:10:10:1:1:0:5:5:2:2:1:1:1:10:13:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:320:64:4099:320:64:16:24:120:1:1:0:12:60:2:2:1:1:1:5:37:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:160:192:4099:160:192:64:10:10:1:1:0:5:5:2:2:1:1:1:10:13:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:176:176:4099:176:176:32:22:22:1:1:0:11:11:2:2:1:1:1:9:14:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:176:176:4099:176:176:32:22:22:1:1:0:11:11:2:2:1:1:1:9:14:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:160:192:4099:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:10:13:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:160:192:4099:160:192:32:20:20:1:1:0:10:10:2:2:1:1:1:10:13:1:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:176:176:4099:176:176:16:46:46:1:1:0:23:23:2:2:1:1:1:9:14:0:0
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:176:176:4099:176:176:16:46:46:1:1:0:23:23:2:2:1:1:1:9:14:1:0
