record_key,record_type,run_id,soc,aic,mode,global_index,workload_index,workload_id,rank,shape,dtype,template,T,S,C,G,L2,median_ms,stddev_ms,tflops,speedup_vs_official,delta_pct,noise_pct,status,mark,official_ms,best_rank,ocr_complete,notes,I,L1,DB,L2O,preflight_contract,trans_a,trans_b
bank_control:20260728_015915:llm_prefill2048_ffn_down,bank_control,20260728_015915,Ascend910B3,20,full,,9,llm_prefill2048_ffn_down,0,2048x4096x11008,fp16,BASE,128x256x64,128x256x11008,20,16x16,1x2(16x8),0.819651,0,225.319793092,,,,regressed,,0.795001,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:llm_full_4096_ffn_up,baseline,20260728_015915,Ascend910B3,20,full,,10,llm_full_4096_ffn_up,-1,4096x11008x4096,fp16,,,,,,,1.35224,0.000323309,273.152,,,,success,,1.35224,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:llm_full_4096_ffn_up,bank_control,20260728_015915,Ascend910B3,20,full,,10,llm_full_4096_ffn_up,0,4096x11008x4096,fp16,BASE,128x256x64,128x256x4096,20,32x43,3x2(11x22),1.36621,0,270.359013223,,,,regressed,,1.35224,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:llm_full_4096_ffn_down,baseline,20260728_015915,Ascend910B3,20,full,,11,llm_full_4096_ffn_down,-1,4096x4096x11008,fp16,,,,,,,1.35531,9.62611e-05,272.534,,,,success,,1.35531,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:llm_full_4096_ffn_down,bank_control,20260728_015915,Ascend910B3,20,full,,11,llm_full_4096_ffn_down,0,4096x4096x11008,fp16,BASE,128x256x64,128x256x11008,20,32x16,3x2(11x8),1.37793,0,268.059471422,,,,regressed,,1.35531,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:llm_8192_square,baseline,20260728_015915,Ascend910B3,20,full,,12,llm_8192_square,-1,8192x8192x8192,fp16,,,,,,,4.04714,0.000688341,271.676,,,,success,,4.04714,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:llm_8192_square,bank_control,20260728_015915,Ascend910B3,20,full,,12,llm_8192_square,0,8192x8192x8192,fp16,BASE,128x256x64,128x256x8192,20,64x32,5x3(13x11),4.02494,0,273.174662921,,,,within_noise,,4.04714,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:attention_score_128,baseline,20260728_015915,Ascend910B3,20,full,,13,attention_score_128,-1,128x128x128,fp16,,,,,,,0.0031972,0.000235214,1.31187,,,,success,,0.0031972,,1,structured_from_successful_full_terminal_log,,,,,,0,1
bank_control:20260728_015915:attention_score_128,bank_control,20260728_015915,Ascend910B3,20,full,,13,attention_score_128,0,128x128x128,fp16,BASE,64x16x128,64x16x128,16,2x8,1x1(2x8),0.0035908,0,1.16806951097,,,,within_noise,,0.0031972,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,1x1,2x2x2,0,grid9_v1,0,1
baseline:20260728_015915:attention_score_1024,baseline,20260728_015915,Ascend910B3,20,full,,14,attention_score_1024,-1,1024x1024x128,fp16,,,,,,,0.0094252,5.96252e-05,28.4806,,,,success,,0.0094252,,1,structured_from_successful_full_terminal_log,,,,,,0,1
bank_control:20260728_015915:attention_score_1024,bank_control,20260728_015915,Ascend910B3,20,full,,14,attention_score_1024,0,1024x1024x128,fp16,BASE,128x256x64,128x256x128,20,8x4,1x1(8x4),0.0097192,0,27.619089637,,,,regressed,,0.0094252,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,1
baseline:20260728_015915:attention_value_1024,baseline,20260728_015915,Ascend910B3,20,full,,15,attention_value_1024,-1,1024x128x1024,fp16,,,,,,,0.0059084,4.37778e-05,45.4329,,,,success,,0.0059084,,1,structured_from_successful_full_terminal_log,,,,,,0,0
