campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:704:3584:48:48:16:16:64:2:4:1:8:8:2:1:1:1:2:5:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:704:3584:32:96:16:2:8:1:4:1:2:2:1:2:1:1:2:5:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:608:480:3584:48:32:16:32:16:2:1:0:8:8:1:1:1:1:2:3:5:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:896:320:3584:48:32:16:32:16:2:2:1:8:8:2:1:1:1:5:2:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:304:944:3584:64:32:16:2:8:2:4:1:1:1:1:1:1:1:2:6:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:608:416:3584:16:48:64:8:8:4:4:1:2:2:2:1:1:1:3:3:3:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:576:3584:48:32:32:32:32:4:4:1:4:4:1:1:1:1:5:5:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:608:480:3584:32:32:192:2:2:2:2:1:1:1:1:1:1:3:1:1:6:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,16:224:1408:3584:64:32:16:4:4:1:1:1:4:4:1:2:1:1:1:8:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:896:144:3584:32:32:16:4:8:2:4:1:2:2:1:1:1:2:7:1:3:2:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
