campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio,verified,structured_verified
one_shot_net_log24,Ascend910B3,20,oneshot_v2_01,3072,3840,5888,fp16,0,0,16:3072:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:10:1:3,one_shot_coupled_policy,0.848756027222,1.6851118585749152,1.6876919070363237,regressed,regressed,1.1091763403290655,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_02,2591,3413,5633,fp16,0,0,15:2592:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:9:1:3,one_shot_coupled_policy,0.751419219971,1.4622103908392239,1.4643513446363623,regressed,regressed,1.1145322468325045,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_03,6400,1408,6656,fp16,0,0,18:384:1408:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:17:1:0:3,one_shot_coupled_policy,0.677277603149,1.4625708964098694,1.4596857004459323,regressed,regressed,1.1097471388425313,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_04,1408,6400,6656,fp16,0,0,18:1408:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:17:1:3,one_shot_coupled_policy,0.647170410156,1.4528963729581712,1.4519098276630555,regressed,regressed,1.135253888793111,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_05,6912,7424,8448,fp16,0,0,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:3:3:6:20:0:2,one_shot_coupled_policy,9.32406005859,2.8583799157045875,2.8650368443644645,regressed,regressed,1.3722794522088526,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_06,2816,3072,448,fp16,0,0,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:2:5:4:5:0:2,one_shot_coupled_policy,0.0603028011322,1.0031741020441334,1.0028404556398223,within_noise,within_noise,1.0006493582384954,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_07,2304,2816,28672,fp16,0,0,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:2:5:3:5:0:2,one_shot_coupled_policy,4.55195556641,2.769755978069479,2.7701211948209714,regressed,regressed,1.1111337485972368,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_08,448,320,28672,fp16,0,0,20:448:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:1:1:3,one_shot_coupled_policy,0.0938840007782,1.1713537177832616,1.0255614836866507,regressed,regressed,0.9975217059385091,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_09,895,673,18433,fp16,0,0,20:896:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:2:1:3,one_shot_coupled_policy,0.422995605469,1.0006661586509256,1.000623567501114,within_noise,within_noise,1.0001725889619224,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_11,5632,127,14336,fp16,0,0,20:128:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:3:1:15:1:0:2,one_shot_coupled_policy,0.435778808594,1.0015340364754386,1.0005299553218827,within_noise,within_noise,0.9998368268228596,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_12,2688,3456,5376,fp16,1,0,14:2688:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:9:1:3,one_shot_coupled_policy,0.60949760437,1.5424149252356831,1.5456170465040031,regressed,regressed,1.1282427944926496,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_13,2560,3328,4992,fp16,0,1,13:2560:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:9:1:3,one_shot_coupled_policy,0.539686393738,1.7823549124435578,1.7820684741175377,regressed,regressed,1.1188626457915056,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_14,2048,2688,4352,fp16,1,1,12:2048:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:7:1:3,one_shot_coupled_policy,0.36020160675,1.8340017860907083,1.8433748952165308,regressed,regressed,1.182378496735064,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_15,3840,4864,6912,bf16,0,0,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:3:10:16:0:2,one_shot_coupled_policy,2.23914672852,2.3663791141641553,2.367207949160027,regressed,regressed,1.4125375446227544,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_16,1471,2081,4223,bf16,0,0,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:2:4:10:0:2,one_shot_coupled_policy,0.259894790649,1.3927959171400937,1.338523081572581,regressed,regressed,1.2007590117225988,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_17,1280,1920,2560,fp32,0,0,20:384:128:192:128:128:64:9:6:3:1:1:3:3:2:2:2:1:3:4:5:0:2,one_shot_coupled_policy,0.184013195038,1.0034529133042063,1.005005726839932,within_noise,within_noise,1.000855689728045,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_19,960,1408,1920,fp32,1,0,20:128:384:192:128:128:64:6:9:1:3:0:3:3:2:2:2:2:1:5:4:0:2,one_shot_coupled_policy,0.0879063987732,0.98939464656874,0.9992543253556028,improved,within_noise,1.0017253391519538,1,1
one_shot_net_log24,Ascend910B3,20,oneshot_v2_20,704,960,1408,fp32,1,1,16:384:128:192:128:128:64:9:6:3:1:1:3:3:2:2:2:1:1:2:8:0:2,one_shot_coupled_policy,0.0404952001572,1.00627523414588,1.0065753958844577,within_noise,within_noise,1.0052529737713913,1,1
