campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio,verified,structured_verified
one_shot_net_log23,Ascend910B3,20,oneshot_v1_02,2479,3293,5501,fp16,0,0,20:128:256:5501:128:256:64:1:1:1:1:1:1:1:2:2:1:20:2:1:7:0:0,one_shot_model,0.676475601196,1.496086771010524,1.4718470502282404,regressed,regressed,1.0001236967128204,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_03,6144,1280,6400,fp16,0,0,20:128:256:6400:128:256:64:1:1:1:1:1:1:1:2:2:1:1:5:48:1:1:0,one_shot_model,0.858694381714,2.333924379206849,2.3349651927362625,regressed,regressed,1.000097111540137,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_04,1280,6144,6400,fp16,0,0,20:128:256:6400:128:256:64:4:4:1:1:1:1:1:2:2:1:2:4:6:7:1:0,one_shot_model,0.858585586548,2.3278332881593085,2.32241803213989,regressed,regressed,1.000153917933454,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_05,6656,7168,8192,fp16,0,0,20:128:256:8192:128:256:64:1:1:1:1:1:1:1:2:2:1:52:7:1:4:0:0,one_shot_model,7.25544921875,2.4738899981419338,2.4796014154673234,regressed,regressed,1.0001525058258476,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_06,2688,2944,384,fp16,0,0,20:128:256:384:128:256:64:4:4:1:1:0:2:2:2:2:1:1:1:21:12:0:0,one_shot_model,0.0411452007294,1.0040475770523423,0.9948547479565085,within_noise,within_noise,1.0003381024503397,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_07,1280,2560,32768,fp16,0,0,20:144:224:32768:144:224:64:16:8:1:1:0:8:8:2:1:1:1:1:15:12:0:0,one_shot_model,6.14805419922,3.0565730056042977,3.053667298497762,regressed,regressed,1.0002031814097976,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_08,384,256,32768,fp16,0,0,4:256:128:32768:256:128:80:8:8:1:1:1:8:8:1:2:1:1:2:2:1:0:0,one_shot_model,0.385530815125,6.871961849307744,6.761326042713938,regressed,regressed,1.0006049558459633,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_09,831,609,20481,fp16,0,0,18:96:336:20481:96:336:48:2:2:1:1:0:1:1:1:1:1:3:1:3:2:0:0,one_shot_model,0.370828399658,1.0027936460450713,0.9996955815088371,within_noise,within_noise,1.0000925289896997,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_10,97,5376,15360,fp16,0,0,20:128:256:15360:128:256:64:1:1:1:1:1:1:1:2:2:1:1:11:1:2:0:0,one_shot_model,0.307504005432,2.205974386891697,2.2082977477793606,regressed,regressed,1.0001442092984336,1,1
one_shot_net_log23,Ascend910B3,20,oneshot_v1_12,2560,3328,5120,fp16,1,0,20:128:256:5120:128:256:64:1:1:1:1:1:1:1:2:2:1:20:2:1:7:0:0,one_shot_model,0.635808792114,1.988580366586604,1.987221217887884,regressed,regressed,1.0002517477829358,1,1
