campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:448:576:384:96:32:48:48:16:3:2:0:8:8:1:1:1:4:1:1:5:2:2,contract_global,1.43382125854,9.97899067711,9.97762910027,regressed,regressed,1.2779653574
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,16:224:1408:768:32:32:48:96:64:3:2:0:16:16:2:1:1:4:1:2:2:1:2,contract_global,3.05982147217,21.2954925606,21.292586911,regressed,regressed,1.57007969448
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:1280:16:16:160:32:32:4:4:1:8:8:1:1:1:19:1:1:1:2:2,contract_global,4.52051727295,31.4615224553,31.4572297085,regressed,regressed,1.24437435029
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:448:576:288:96:32:48:36:24:3:2:0:6:6:1:1:1:4:2:1:3:0:2,contract_global,1.50324325562,10.462148154,10.4607206531,regressed,regressed,1.27215071839
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:640:16:16:160:16:16:4:4:1:4:4:1:1:1:19:1:1:1:2:2,contract_global,5.0299520874,35.0070447676,35.0022682544,regressed,regressed,1.25516247608
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,16:224:1408:768:32:32:48:96:32:3:2:0:16:16:2:1:1:4:1:2:2:0:2,contract_global,3.01030426025,20.9508667621,20.9480081348,regressed,regressed,1.56195765904
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:448:576:288:96:32:48:36:12:3:2:0:6:6:1:1:1:4:1:1:5:2:2,contract_global,1.61743164062,11.2568670373,11.2553311014,regressed,regressed,1.26965873025
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:176:944:1280:16:32:80:48:64:3:2:0:16:16:2:1:1:11:1:1:3:1:2,contract_global,5.02730865479,34.9886472239,34.9838732208,regressed,regressed,2.58589582899
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:480:16:16:160:24:24:4:4:0:3:3:1:1:1:1:1:19:1:1:2,contract_global,5.13562866211,35.7425238572,35.737646992,regressed,regressed,1.24976841319
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:208:1408:256:64:96:32:32:48:2:3:1:8:8:2:1:1:9:2:1:1:0:2,contract_global,1.45403793335,10.1196930194,10.1183122445,regressed,regressed,1.52353848214
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:304:480:768:32:48:48:48:64:3:2:0:16:16:2:1:1:6:1:1:6:1:2,contract_global,2.43712234497,16.9616826467,16.959368321,regressed,regressed,2.60833630252
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:304:480:768:32:48:48:96:32:3:2:0:16:16:2:1:1:6:1:1:6:1:2,contract_global,2.42270004272,16.8613074996,16.8590068696,regressed,regressed,2.60833630252
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,12:160:2816:1280:16:16:80:64:128:4:4:1:16:16:2:1:1:6:1:2:1:2:2,contract_global,9.4677947998,65.8931756502,65.8841848991,regressed,regressed,2.12961226483
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,12:160:2816:1280:16:16:80:128:64:4:4:1:16:16:2:1:1:6:1:2:1:2:2,contract_global,9.44272521973,65.7186984591,65.7097315144,regressed,regressed,2.12961226483
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:192:1408:3552:32:32:32:111:111:1:1:1:111:111:2:2:1:5:1:2:2:1:2,contract_global,4.0544442749,28.2177861286,28.2139359713,regressed,regressed,1.42816620536
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:448:576:384:96:32:48:24:32:3:2:0:8:8:1:1:1:4:1:1:5:2:2,contract_global,1.47735198975,10.281952262,10.2805493478,regressed,regressed,1.26921571013
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,16:224:1408:768:32:32:48:48:64:3:2:0:16:16:2:1:1:4:1:2:2:0:2,contract_global,2.67212585449,18.5972406471,18.5947031588,regressed,regressed,1.55789664132
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,12:160:2816:240:16:16:80:12:12:4:4:0:3:3:2:1:1:6:1:2:1:1:2,contract_global,13.9615270996,97.1682822635,97.1550242009,regressed,regressed,2.14400071125
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,16:448:448:768:32:32:48:96:64:3:2:0:16:16:2:1:1:3:1:3:2:1:2,contract_global,0.168977203369,0.999905305927,0.998834334449,within_noise,within_noise,1.65524809863
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:368:448:256:64:64:32:64:64:4:4:1:8:8:2:2:1:1:2:10:1:0:2,contract_global,0.169426002502,1.00256102886,1.00148721291,within_noise,within_noise,1.47124017857
contract_behavior_net_log11_recovered,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:256:896:1280:16:16:80:96:32:3:2:0:16:16:2:2:2:5:1:3:1:2:2,contract_global,0.168840808868,0.999098205427,0.998028098413,within_noise,within_noise,1.74255857143
