record_id,run_id,soc,aic,toolkit,workload_id,m,n,k,dtype,trans_a,trans_b,candidate_role,candidate_source,tiling_signature,bank_tiling_signature,success,preflight_mode,median_ms,official_ms,bank_ms,status_vs_official,status_vs_bank,pair_validated
net_log28:template_v2_al1_01:rank1,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,14:96:384:1024:64:32:16:64:2:1:1:1:64:1:1:2:1:1:1:1:14:1:10,,1,numeric_signed_axes_full_v3,0.0125996005535,0.0127424001694,0.012624000311,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank2,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,2:96:2624:1024:16:160:16:64:2:1:1:0:64:1:2:1:1:1:1:1:2:0:10,,1,numeric_signed_axes_full_v3,0.0126339995861,0.0127424001694,0.0126240003109,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank3,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,20:96:272:1024:96:112:32:32:1:1:1:0:32:1:1:1:1:1:1:1:20:0:10,,1,numeric_signed_axes_full_v3,0.0126419997215,0.0127424001694,0.0126240003109,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank4,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,3:96:1760:1024:96:112:32:32:2:1:1:0:32:1:1:1:1:1:1:1:3:1:10,,1,numeric_signed_axes_full_v3,0.0126116001606,0.0127424001694,0.0126240003109,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank5,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,4:96:1312:1024:64:32:32:32:2:1:1:0:32:1:1:2:1:1:1:1:4:0:10,,1,numeric_signed_axes_full_v3,0.0126051998138,0.0126075994968,0.0126168000699,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank6,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,20:96:272:1024:64:32:32:32:2:1:1:0:32:1:1:2:1:1:1:1:20:0:10,,1,numeric_signed_axes_full_v3,0.0127856004238,0.0126075994968,0.0126168000698,regressed,regressed,1
net_log28:template_v2_al1_01:rank7,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,5:96:1056:1024:16:160:16:64:1:1:1:0:64:1:2:1:1:1:1:1:5:2:10,,1,numeric_signed_axes_full_v3,0.0126240003109,0.0126075994968,0.0126168000698,within_noise,within_noise,1
net_log28:template_v2_al1_01:rank8,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_01,96,5248,1024,fp16,0,0,searched,calibration_template_probe,4:96:1312:1024:80:64:48:22:2:1:1:0:22:1:1:2:1:1:1:1:4:0:10,,1,numeric_signed_axes_full_v3,0.0127488005161,0.0126075994968,0.0126168000698,regressed,within_noise,1
net_log28:template_v2_al1_02:rank1,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_02,128,5376,1024,bf16,0,1,searched,calibration_template_probe,14:128:384:1024:16:16:160:7:2:1:1:1:7:1:1:1:1:1:1:1:14:2:10,,1,numeric_signed_axes_full_v3,0.0139256000519,0.0139499998093,0.0139139997959,within_noise,within_noise,1
net_log28:template_v2_al1_02:rank2,net_log28,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_02,128,5376,1024,bf16,0,1,searched,calibration_template_probe,4:128:1344:1024:128:32:16:64:2:1:1:1:64:1:1:2:1:1:1:1:4:0:10,,1,numeric_signed_axes_full_v3,0.0139111995697,0.0139499998093,0.013913999796,within_noise,within_noise,1
