campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:704:3584:48:48:16:16:64:2:4:1:8:8:2:1:1:1:2:5:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:704:3584:32:96:16:2:8:1:4:1:2:2:1:2:1:1:2:5:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:608:480:3584:48:32:16:32:16:2:1:0:8:8:1:1:1:1:2:3:5:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:896:320:3584:48:32:16:32:16:2:2:1:8:8:2:1:1:1:5:2:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:304:944:3584:64:32:16:2:8:2:4:1:1:1:1:1:1:1:2:6:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:608:416:3584:16:48:64:8:8:4:4:1:2:2:2:1:1:1:3:3:3:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:368:576:3584:48:32:32:32:32:4:4:1:4:4:1:1:1:1:5:5:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,18:608:480:3584:32:32:192:2:2:2:2:1:1:1:1:1:1:3:1:1:6:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,16:224:1408:3584:64:32:16:4:4:1:1:1:4:4:1:2:1:1:1:8:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:896:144:3584:32:32:16:4:8:2:4:1:2:2:1:1:1:2:7:1:3:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:48:2816:3584:48:16:32:8:64:1:4:1:8:8:2:2:2:13:1:3:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:64:2816:3584:16:80:32:16:8:4:4:0:2:2:1:2:1:14:1:2:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:64:576:3584:64:48:192:2:4:1:1:0:2:2:1:2:1:1:3:28:2:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:48:944:3584:16:48:16:2:1:1:1:1:1:1:2:2:1:1:3:38:1:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:1536:288:3584:1536:16:16:8:8:1:1:0:8:8:1:1:1:2:5:1:2:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:1792:32:3584:16:16:224:8:8:1:2:0:4:4:2:2:2:1:10:1:9:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:336:656:3587:64:32:64:1:2:1:2:1:1:1:1:1:1:1:2:5:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,15:336:864:3587:16:112:48:4:8:1:4:1:2:2:2:1:1:2:1:4:3:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:336:656:3587:48:48:16:16:64:2:4:1:8:8:2:1:1:1:2:5:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:832:272:3587:48:32:16:32:16:2:2:1:8:8:2:1:1:1:5:2:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,18:288:864:3587:16:64:16:32:16:4:1:0:8:8:1:1:1:1:1:6:3:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:208:864:3587:32:16:48:8:32:1:4:1:8:8:2:1:1:2:1:4:3:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:416:432:3587:32:80:16:32:16:4:1:1:8:8:1:1:1:1:6:4:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:1664:128:3587:64:16:16:16:4:4:2:1:2:2:1:1:1:1:3:1:9:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:176:1296:3587:32:32:32:16:32:1:2:0:8:8:2:2:1:3:1:4:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:288:528:3587:16:160:16:8:16:1:2:1:4:4:1:2:1:1:5:6:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:96:1296:3587:16:16:128:4:2:2:1:1:2:2:2:2:1:6:1:3:2:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:112:1296:3587:16:16:128:4:2:2:1:0:1:1:1:2:1:1:1:15:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:64:432:3587:16:16:448:4:2:1:1:1:2:2:1:2:1:1:6:26:1:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:48:656:3587:32:32:512:2:2:1:1:1:2:2:2:2:2:1:4:35:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:96:272:3587:96:16:64:8:8:1:2:1:4:4:2:2:1:3:2:8:9:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:208:144:144:64:64:48:18:12:3:2:1:3:3:1:2:1:2:3:5:6:1:2
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:368:448:5120:16:16:1024:4:4:4:4:0:1:1:2:2:2:3:1:4:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:16:16:1024:4:4:2:2:1:2:2:2:1:1:7:1:1:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:720:224:5120:16:16:96:8:16:1:4:0:4:4:2:2:2:2:1:4:4:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:80:16:256:8:16:1:2:1:8:8:1:1:1:7:1:1:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:16:96:96:16:16:1:1:0:8:8:1:2:1:1:1:7:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:32:160:160:2:2:2:1:0:1:1:2:1:1:1:1:7:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:112:16:112:16:8:4:2:1:2:2:2:2:2:7:1:1:2:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:256:896:5120:16:32:384:4:16:1:2:0:4:4:1:2:1:7:1:2:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:3584:64:5120:48:64:512:4:2:1:1:0:2:2:1:1:1:1:5:1:3:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,5:3584:192:5120:32:192:80:2:1:1:1:0:1:1:1:2:1:1:2:1:3:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,10:3584:96:5120:96:96:16:8:8:1:1:1:4:4:1:1:1:1:3:1:4:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:3584:32:5120:32:32:320:8:8:1:1:0:4:4:2:2:1:1:10:1:3:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:448:96:5120:16:32:896:8:4:1:1:0:4:4:2:1:1:1:2:8:5:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,20:448:48:5120:32:16:320:4:8:1:2:1:4:4:1:2:1:8:1:1:19:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,10:3584:96:256:48:32:32:16:48:2:3:1:8:8:1:1:1:1:5:1:2:2:2
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:1792:128:128:48:32:16:32:64:4:4:1:8:8:2:2:1:2:2:1:6:2:2
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:448:368:5120:160:16:160:1:4:1:4:1:1:1:1:1:1:1:3:2:4:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,18:304:608:5120:16:96:64:4:2:1:1:1:2:2:1:1:1:3:2:1:3:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,18:448:400:5120:64:32:80:2:4:2:4:1:1:1:1:2:1:2:1:1:9:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:224:720:5120:16:48:64:16:4:2:1:0:4:4:1:1:1:4:1:1:5:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,16:224:896:5120:32:16:160:2:2:1:2:0:1:1:1:2:1:1:1:4:4:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:224:720:5120:64:32:64:2:2:1:1:0:1:1:1:1:1:1:1:4:5:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,18:304:608:5120:80:16:64:4:2:2:1:0:1:1:1:2:1:1:2:3:5:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,19:896:192:5120:48:80:64:4:2:4:1:1:1:1:2:1:1:1:2:1:16:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:96:1792:5120:32:16:48:8:2:2:1:1:2:2:2:2:2:1:2:10:1:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:96:1792:5120:96:32:16:2:1:1:1:0:1:1:2:1:1:1:1:10:2:1:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:896:96:5120:16:32:896:8:4:1:1:0:4:4:2:1:1:1:3:1:18:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:32:3584:5120:16:16:640:8:4:2:1:1:4:4:2:2:1:28:1:1:1:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,13:1792:288:5120:1792:16:16:8:32:1:4:1:4:4:1:1:1:1:3:1:5:2:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,20:32:720:5120:32:48:16:16:16:1:1:0:8:8:2:2:2:7:2:4:4:0:0
two_stage_feedback_net_log15,Ascend910B3,20,external_v2_dense_wide,896,3584,5120,fp16,0,0,12:256:1200:128:64:96:32:32:32:4:4:1:4:4:2:2:1:2:1:2:3:2:2
