record_id,run_id,soc,aic,toolkit,workload_id,m,n,k,dtype,trans_a,trans_b,candidate_role,candidate_source,tiling_signature,bank_tiling_signature,success,preflight_mode,median_ms,official_ms,bank_ms,status_vs_official,status_vs_bank,pair_validated
net_log31:template_v2_al1_04:rank1,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:2:1:19:0:10,,1,numeric_signed_axes_full_v3,0.0419992017746,0.0419256019592,0.0419496011734,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank2,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:3:1:9:0:10,,1,numeric_signed_axes_full_v3,0.041895198822,0.0419256019592,0.0419496011734,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank3,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:20:1:1:0:10,,1,numeric_signed_axes_full_v3,0.0426796007156,0.0419256019592,0.0419496011734,regressed,regressed,1
net_log31:template_v2_al1_04:rank4,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:7:1:3:0:10,,1,numeric_signed_axes_full_v3,0.0421339988708,0.0419256019592,0.0419496011734,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank5,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:2:1:16:0:10,,1,numeric_signed_axes_full_v3,0.0419004011154,0.0418976020813,0.0419428014755,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank6,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:3:1:8:0:10,,1,numeric_signed_axes_full_v3,0.0426819992065,0.0418976020813,0.0419428014755,regressed,regressed,1
net_log31:template_v2_al1_04:rank7,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:5:1:4:0:10,,1,numeric_signed_axes_full_v3,0.0419388008118,0.0418976020813,0.0419428014755,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank8,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:32:16:32:2:1:1:0:32:1:2:2:1:1:3:1:9:0:10,,1,numeric_signed_axes_full_v3,0.0421191978455,0.0418976020813,0.0419428014755,within_noise,within_noise,1
net_log31:template_v2_al1_04:rank9,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:2:1:13:0:10,,1,numeric_signed_axes_full_v3,0.0427315998077,0.0418811988831,0.0419428014755,regressed,regressed,1
net_log31:template_v2_al1_04:rank10,net_log31,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,template_v2_al1_04,176,5632,512,fp32,1,1,searched,adaptive_winner_transfer,20:176:288:512:64:48:16:32:2:1:1:0:32:1:1:1:1:1:2:1:12:0:10,,1,numeric_signed_axes_full_v3,0.0419999980927,0.0418811988831,0.0419428014755,within_noise,within_noise,1
