campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
one_shot_net_log23,Ascend910B3,20,oneshot_v1_02,2479,3293,5501,fp16,0,0,20:128:256:5501:128:256:64:1:1:1:1:1:1:1:2:2:1:20:2:1:7:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_03,6144,1280,6400,fp16,0,0,20:128:256:6400:128:256:64:1:1:1:1:1:1:1:2:2:1:1:5:48:1:1:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_04,1280,6144,6400,fp16,0,0,20:128:256:6400:128:256:64:4:4:1:1:1:1:1:2:2:1:2:4:6:7:1:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_05,6656,7168,8192,fp16,0,0,20:128:256:8192:128:256:64:1:1:1:1:1:1:1:2:2:1:52:7:1:4:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_06,2688,2944,384,fp16,0,0,20:128:256:384:128:256:64:4:4:1:1:0:2:2:2:2:1:1:1:21:12:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_07,1280,2560,32768,fp16,0,0,20:144:224:32768:144:224:64:16:8:1:1:0:8:8:2:1:1:1:1:15:12:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_08,384,256,32768,fp16,0,0,4:256:128:32768:256:128:80:8:8:1:1:1:8:8:1:2:1:1:2:2:1:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_09,831,609,20481,fp16,0,0,18:96:336:20481:96:336:48:2:2:1:1:0:1:1:1:1:1:3:1:3:2:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_10,97,5376,15360,fp16,0,0,20:128:256:15360:128:256:64:1:1:1:1:1:1:1:2:2:1:1:11:1:2:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_11,5376,113,15360,fp16,0,0,20:256:128:15360:256:128:64:4:4:1:1:0:4:4:1:2:1:1:1:21:1:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_12,2560,3328,5120,fp16,1,0,20:128:256:5120:128:256:64:1:1:1:1:1:1:1:2:2:1:20:2:1:7:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_13,2432,3200,4864,fp16,0,1,20:128:256:4864:128:256:64:1:1:1:1:1:1:1:2:2:1:19:2:1:7:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_14,1920,2560,4096,fp16,1,1,20:128:256:4096:128:256:64:1:1:1:1:1:1:1:2:2:1:1:10:15:1:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_15,3584,4608,7168,bf16,0,0,20:128:256:7168:128:256:64:1:1:1:1:1:1:1:2:2:1:28:4:1:5:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_16,1409,2017,4099,bf16,0,0,20:128:256:4099:128:256:64:1:1:1:1:1:1:1:2:2:1:12:1:1:8:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_17,1152,1792,2304,fp32,0,0,20:160:192:2304:160:192:32:16:8:1:1:0:8:8:2:2:1:1:10:8:1:1:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_18,80,544,4608,fp32,0,1,2:96:336:4608:96:336:32:2:1:1:1:0:1:1:2:1:1:1:1:1:2:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_19,896,1280,1792,fp32,1,0,20:128:256:1792:128:256:32:1:2:1:1:0:1:1:2:2:1:1:2:7:4:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_20,640,896,1280,fp32,1,1,20:128:256:1280:128:256:32:1:2:1:1:0:1:1:2:2:1:1:1:5:4:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_21,48,448,4608,fp32,0,1,3:128:192:4608:128:192:32:1:2:1:1:0:1:1:2:1:1:1:1:1:3:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_22,53248,288,256,fp16,0,0,20:144:224:256:144:224:64:2:2:1:1:0:1:1:2:1:1:14:1:27:2:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_23,256,192,16384,fp32,0,0,4:144:112:16384:144:112:32:4:2:1:1:1:2:2:2:2:2:1:2:2:1:0:0
one_shot_net_log23,Ascend910B3,20,oneshot_v1_24,1536,2304,256,bf16,0,0,20:128:256:256:128:256:64:4:4:1:1:1:2:2:2:2:1:1:1:12:9:0:0
