campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,11:160:2592:3587:96:144:48:8:32:1:4:0:4:4:2:2:2:6:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,11:160:2592:3587:128:128:112:8:8:1:2:0:4:4:2:2:2:6:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,14:240:1296:3587:176:112:48:8:8:1:1:0:4:4:2:2:1:2:1:4:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,12:144:2592:3587:80:320:48:4:16:1:4:0:4:4:1:2:1:1:1:12:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,14:240:1296:3587:48:192:160:4:4:2:1:1:2:2:2:1:1:7:1:1:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,10:384:1296:3587:384:48:32:16:8:1:1:0:8:8:2:1:1:5:1:1:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:560:144:3587:160:144:192:4:2:1:1:1:2:2:1:1:1:3:4:1:5:2:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,11:160:2592:3587:32:16:896:5:5:1:1:0:5:5:1:1:1:1:1:11:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,8:832:672:3587:48:672:16:16:16:1:1:0:8:8:1:1:1:2:1:1:4:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,4:1664:672:3587:48:672:16:64:8:4:1:1:8:8:2:2:1:1:1:1:4:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:1536:128:3587:1536:16:16:8:32:1:2:0:8:8:1:2:1:1:21:2:1:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,4:1664:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:7:1:3,contract_global,0.967551574707,4.81877186387304,4.82374954250704,regressed,regressed,1.5286912632228464
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,4:384:2592:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:5:1:0:3,contract_global,1.04262519836,5.19266683218756,5.19803073556823,regressed,regressed,1.691559797613257
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:512:448:5120:32:64:160:16:8:4:2:0:4:4:2:2:1:2:1:4:2:0:0,contract_global,0.169391994476,0.998408575429082,1.00012747909685,within_noise,within_noise,0.9991696516807141
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,12:304:896:5120:80:48:128:16:8:2:2:0:4:4:2:2:1:1:1:12:1:0:0,contract_global,0.16943479538,0.998660847035427,1.00038018501872,within_noise,within_noise,0.9992870660731306
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,14:256:896:5120:48:448:32:16:16:2:2:0:4:4:1:2:1:1:1:14:1:0:0,contract_global,0.169377593994,0.998323697956839,1.00004245549339,within_noise,within_noise,0.9990748640683322
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,11:336:896:5120:80:336:32:16:16:1:1:0:8:8:2:2:1:6:1:2:1:0:0,contract_global,0.169438800812,0.998684455337516,1.00040383396804,within_noise,within_noise,0.9994748512899617
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,12:304:896:5040:16:16:80:63:63:1:1:1:63:63:1:2:1:1:1:12:1:2:2,contract_global,0.169365997314,0.998255346296233,0.999973986146738,within_noise,within_noise,1.0001378890089916
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,12:304:896:5040:16:16:80:63:126:1:1:1:63:63:1:2:1:4:1:3:1:0:2,contract_global,0.169833602905,1.00101144721378,1.00273483209573,within_noise,within_noise,1.0008350822624221
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_tall,3584,896,5120,fp16,0,0,12:1792:160:5120:176:160:48:8:16:1:1:0:8:8:1:2:1:2:1:1:6:1:0,contract_global,0.169750003815,1.00051870817668,1.00224124473698,within_noise,within_noise,0.9997801712856578
