campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio,verified,structured_verified
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,13:176:2816:1280:16:16:80:16:16:1:1:0:16:16:1:2:1:7:1:2:1:2:2,contract_global,14.6356054688,45.5465830493326,45.573341165398,regressed,regressed,1.4125375446227544,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,11:208:2816:1024:32:32:64:96:32:3:2:0:16:16:1:1:1:6:1:2:1:1:2,contract_global,5.75947021484,17.9236990926012,17.9342290684425,regressed,regressed,1.3218879229263596,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,14:160:2816:640:16:16:80:16:24:2:3:1:8:8:2:2:1:14:1:1:1:0:2,contract_global,12.0675830078,37.5049213698569,37.2364334909986,regressed,regressed,1.4125375446227542,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,13:176:2816:640:16:16:80:16:16:1:1:0:8:8:1:2:1:13:1:1:1:1:2,contract_global,21.7377392578,67.5588641982878,67.075228038153,regressed,regressed,1.4125375446227544,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,13:384:2816:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:6:1:0:3,contract_global,0.496818809509,1.54406647741171,1.54546571431623,regressed,regressed,1.1295500368407538,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,13:2128:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:8:1:3,contract_global,0.491886787415,1.52873821319277,1.53012355958454,regressed,regressed,1.1085144266723415,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,12:192:2816:4867:16:608:16:8:1:4:1:0:1:1:2:2:2:1:1:12:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,8:384:2816:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:6:1:0:3,contract_global,0.892606811523,2.75741033255163,2.77665256864116,regressed,regressed,1.133655250134473,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,20:96:576:4867:16:32:16:1:2:1:2:0:1:1:2:2:2:1:3:23:2:2:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,14:160:2816:4867:128:48:16:1:8:1:4:1:1:1:2:2:2:14:1:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,14:160:2816:4867:48:112:64:4:4:1:1:1:2:2:2:2:1:7:1:2:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,4:384:2816:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:6:1:0:3,contract_global,1.63674804687,5.06709076421262,5.07907268003387,regressed,regressed,1.3269731933761173,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,4:2128:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:8:1:3,contract_global,1.64808914185,5.11035382746364,5.11426578491325,regressed,regressed,1.2838313588607395,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,20:96:352:4867:16:32:1024:8:4:2:1:0:2:2:1:1:1:23:1:1:8:1:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,20:496:640:5632:16:32:320:4:1:2:1:0:1:1:2:2:1:4:1:3:2:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,14:704:640:5632:272:16:64:8:4:1:1:0:4:4:1:2:1:1:1:7:2:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,14:352:1280:5632:64:112:128:2:2:1:1:0:2:2:1:1:1:7:1:2:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,14:704:640:5632:384:32:48:4:8:1:1:1:4:4:1:2:1:7:2:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,14:704:640:5632:64:240:48:2:2:1:1:0:2:2:1:1:1:3:1:3:2:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,14:704:640:5632:32:240:48:32:4:4:1:1:4:4:2:1:1:7:2:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,15:336:1280:1280:16:16:160:32:32:4:4:1:8:8:1:1:1:5:1:3:1:2:2,contract_global,11.2226867676,41.1071365238372,41.2439042797831,regressed,regressed,1.0744058122634303,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,12:416:1280:1280:16:16:80:64:64:4:4:1:16:16:2:1:1:1:1:12:1:1:2,contract_global,17.6386804199,64.608026503363,64.8229841858361,regressed,regressed,1.0387467794049656,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,11:448:1280:1024:32:32:64:96:32:3:2:0:16:16:1:1:1:1:1:11:1:1:2,contract_global,6.75711425781,24.7715385207581,24.8327142534934,regressed,regressed,1.0674800178177546,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,6:4864:240:5632:32:240:32:2:4:1:1:1:2:2:2:1:1:1:3:1:2:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,15:4864:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:4:1:3,contract_global,0.580780410767,2.13294794246591,2.13377350114546,regressed,regressed,1.1092991582361027,1,1
