record_id,run_id,soc,aic,toolkit,workload_id,m,n,k,dtype,trans_a,trans_b,candidate_role,candidate_source,tiling_signature,bank_tiling_signature,success,preflight_mode,median_ms,official_ms,bank_ms,status_vs_official,status_vs_bank,pair_validated
net_log33:compact_data_driven:oneshot_v5_01:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_01,3840,4608,6912,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:6912:128:128:64:16:16:1:1:0:8:8:2:2:1:1:2:30:18:0:0,,1,numeric_signed_axes_full_v3,1.24047203064,0.883542785645,0.884386825562,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_02:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_02,3199,4097,6529,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:256:6529:128:256:64:16:8:1:1:0:8:4:2:2:1:1:2:25:9:0:0,,1,numeric_signed_axes_full_v3,0.89982963562,0.877434387207,0.871813964844,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_03:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_03,7680,2048,7168,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:256:7168:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:30:8:0:0,,1,numeric_signed_axes_full_v3,0.813178024292,0.813494415281,0.814283599853,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_04:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_04,2048,7680,7168,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:256:7168:128:256:64:16:8:1:1:0:8:4:2:2:1:1:2:16:15:0:0,,1,numeric_signed_axes_full_v3,0.81044921875,0.809592819214,0.810335235596,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_05:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_05,6912,7424,8704,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:8704:128:128:64:16:16:1:1:0:8:8:2:2:1:5:3:11:20:0:0,,1,numeric_signed_axes_full_v3,4.89716003418,3.37128387451,3.35054351807,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_06:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_06,3456,3712,768,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:768:128:128:64:16:16:1:1:0:8:8:2:2:1:7:6:4:5:0:0,,1,numeric_signed_axes_full_v3,0.099259595871,0.0993995952607,0.0993363952636,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_07:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_07,2560,3200,31744,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:256:31744:128:256:64:16:8:1:1:0:8:4:2:2:1:4:5:6:3:0:0,,1,numeric_signed_axes_full_v3,2.53063400269,2.23004272461,2.2291003418,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_08:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_08,512,320,30720,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:64:128:30720:64:128:64:32:16:1:1:0:16:8:2:2:1:2:1:4:3:0:0,,1,numeric_signed_axes_full_v3,0.181467208862,0.0832040023804,0.0964083957672,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_09:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_09,1153,897,19457,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:64:256:19457:64:256:64:32:8:1:1:0:16:4:2:2:1:5:1:4:4:0:0,,1,numeric_signed_axes_full_v3,0.444533615112,0.443488388062,0.444699211121,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_10:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_10,193,5632,14336,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:14336:128:128:64:16:16:1:1:0:8:8:2:2:2:1:5:2:9:0:0,,1,numeric_signed_axes_full_v3,0.236746006012,0.224061203003,0.226739196777,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_11:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_11,5632,223,14336,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:128:224:14336:128:224:64:16:8:1:1:0:8:4:2:2:1:3:1:15:1:0:0,,1,numeric_signed_axes_full_v3,0.644723968506,0.656207580563,0.648196029661,improved,within_noise,1
net_log33:compact_data_driven:oneshot_v5_12:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_12,3456,4096,6144,fp16,1,0,searched,compact_data_driven:compact_data_driven,20:64:256:6144:64:256:64:32:8:1:1:0:16:4:2:2:1:2:1:27:16:0:0,,1,numeric_signed_axes_full_v3,1.32116485596,0.645872802734,0.648060379028,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_13:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_13,3328,3968,5888,fp16,0,1,searched,compact_data_driven:compact_data_driven,20:256:128:5888:256:128:64:6:6:1:1:0:3:3:2:2:1:1:2:13:16:0:0,,1,numeric_signed_axes_full_v3,0.950966415405,0.593424797058,0.592884407043,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_14:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_14,2688,3328,5376,fp16,1,1,searched,compact_data_driven:compact_data_driven,20:256:128:5376:256:128:64:8:16:1:1:0:4:8:2:2:1:3:6:4:5:0:0,,1,numeric_signed_axes_full_v3,0.3914012146,0.389557991028,0.389716415405,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_15:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_15,4864,6144,7936,bf16,0,0,searched,compact_data_driven:compact_data_driven,20:64:256:7936:64:256:64:32:8:1:1:0:16:4:2:2:1:2:2:38:12:0:0,,1,numeric_signed_axes_full_v3,2.80063568115,1.75115921021,1.7590447998,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_16:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_16,2047,2689,4993,bf16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:4993:128:128:64:16:16:1:1:0:8:8:2:2:1:4:5:4:5:0:0,,1,numeric_signed_axes_full_v3,0.32614440918,0.303174800873,0.306387996674,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_17:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_17,1664,2432,3328,fp32,0,0,searched,compact_data_driven:compact_data_driven,19:1664:128:3328:128:128:32:16:16:1:1:0:8:8:2:2:1:1:1:1:19:0:0,,1,numeric_signed_axes_full_v3,0.398650398254,0.398673591615,0.398933601379,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_18:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_18,160,832,5120,fp32,0,1,searched,compact_data_driven:compact_data_driven,18:128:96:5120:128:96:64:8:8:1:1:0:4:4:2:2:1:1:1:2:9:0:0,,1,numeric_signed_axes_full_v3,0.0429419994354,0.0420968008041,0.0422404003143,regressed,regressed,1
net_log33:compact_data_driven:oneshot_v5_19:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_19,1280,1792,2432,fp32,1,0,searched,compact_data_driven:compact_data_driven,20:128:896:2432:128:256:32:16:8:1:1:0:8:4:2:2:1:3:1:4:2:0:0,,1,numeric_signed_axes_full_v3,0.16385799408,0.16359079361,0.163187198639,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_20:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_20,960,1408,1920,fp32,1,1,searched,compact_data_driven:compact_data_driven,20:128:128:1920:128:128:32:16:16:1:1:0:8:8:2:2:1:2:3:4:5:0:0,,1,numeric_signed_axes_full_v3,0.0936688041687,0.0928316020966,0.093360004425,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_21:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_21,112,672,5120,fp32,0,1,searched,compact_data_driven:compact_data_driven,14:112:48:5120:112:48:64:8:16:1:1:0:4:8:2:2:1:1:1:1:14:0:0,,1,numeric_signed_axes_full_v3,0.0429243993759,0.0420355987549,0.0429536008834,regressed,within_noise,1
net_log33:compact_data_driven:oneshot_v5_22:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_22,61440,416,512,fp16,0,0,searched,compact_data_driven:compact_data_driven,20:3072:416:512:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:10:1:0:0,,1,numeric_signed_axes_full_v3,0.197966003418,0.197678794861,0.197616405487,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_23:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_23,416,320,16384,fp32,0,0,searched,compact_data_driven:compact_data_driven,18:80:128:16384:80:128:64:8:8:1:1:0:4:4:2:2:1:2:1:4:3:0:0,,1,numeric_signed_axes_full_v3,0.100867204666,0.100531597137,0.100494003296,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_24:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_24,2304,3072,512,bf16,0,0,searched,compact_data_driven:compact_data_driven,20:128:128:512:128:128:64:16:16:1:1:0:8:8:2:2:1:5:5:4:5:0:0,,1,numeric_signed_axes_full_v3,0.0482079982758,0.047863202095,0.047882399559,within_noise,within_noise,1
net_log33:compact_data_driven:oneshot_v5_25:rank1,net_log33_compact_data_driven,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v5_25,16,272,6144,fp32,0,1,searched,compact_data_driven:compact_data_driven,17:16:16:6144:16:16:256:24:2:1:1:0:24:1:2:2:2:1:1:1:17:1:10,,1,numeric_signed_axes_full_v3,0.014484000206,,,,,0
