campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,16:128:784:3073:32:32:48:16:4:4:1:0:4:4:2:1:1:8:1:1:2:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,16:256:400:3073:48:48:16:8:32:1:2:0:8:8:1:1:1:1:1:4:4:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:1024:16:3073:16:16:448:8:4:1:1:1:4:4:2:2:2:1:5:1:20:1:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:112:128:3073:96:32:320:2:8:1:4:1:1:1:1:2:1:3:3:4:5:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:112:224:3073:64:224:64:8:16:1:1:0:8:8:2:1:1:1:1:10:7:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:208:400:2560:32:16:160:16:16:1:1:0:16:16:1:2:1:3:1:2:4:1:2
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:208:400:2560:32:16:160:16:32:1:1:0:16:16:1:2:1:3:1:2:4:2:2
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:256:320:3073:48:48:16:8:32:1:4:1:4:4:2:1:1:1:3:4:2:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:256:320:3073:64:80:160:4:8:1:2:1:4:4:2:2:2:1:3:4:2:0:0
coarse_paired_net_log18,Ascend910B3,20,external_v2_bf16_odd,1023,1537,3073,bf16,0,0,20:32:272:3073:32:32:1024:2:4:1:2:1:1:1:1:1:1:6:1:6:6:1:0
